"RecNo","ExtractedBy","Author","Year","FocalSpC","FocalSpL","MultiplePred","PredSpC","PredSpL","PredGuild","PredTo","Setting","Treatment","Season","Design","TreatmentDuration","duration_days","ResponsePeriod","ControlType","Sex","Age","N","Nobs","NTreat","Ncontrol","SubjectID","ResponseID","Type","Category","SubCategory","ResponseDetails","PredictedDirection","Direction","d","l_95","u_95","v","Calculation","Control_mean","Control_se","Control_sd","Treatment_mean","Treatment_se","Treatment_sd","control_median","control_lowerquartile","control_upperquartile","treament_median","treament_lowerquartile","treatment_upperquartile","Beta_estimate","Beta_se","Beta_sd","l95CI","U95CI","SE","t","T","Z","F","Wald","X2","H","U","p","Details","FocalSpL_corrected"
"533","JDAT","Van Der Veen",2000,"Yellowhammer","Emberiza citrinella","N","Eurasian sparrowhawk","Accipiter nisus","Bird","A","Lab","VM","non-breeding","within","1 min",0.001388889,"after","disturbance","both","A",21,42,21,21,"32","102","Physiology","Condition","Mass","RateMassChange",-1,1,-0.2155,-0.8221,0.3911,0.095791,"fig3d",0.486,0.083,NA,0.415,0.063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Emberiza_citrinella"
"533","JDAT","Van Der Veen",2000,"Yellowhammer","Emberiza citrinella","N","Eurasian sparrowhawk","Accipiter nisus","Bird","A","Lab","VM","non-breeding","within","1 min",0.001388889,"after","disturbance","both","A",19,38,19,19,"32","102","Physiology","Condition","Mass","RateMassChange",-1,1,-0.0025,-0.6384,0.6334,0.105263,"fig3e",1.618,0.338,NA,1.615,0.209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Emberiza_citrinella"
"533","JDAT","Van Der Veen",2000,"Yellowhammer","Emberiza citrinella","N","Eurasian sparrowhawk","Accipiter nisus","Bird","A","Lab","VM","non-breeding","within","1 min",0.001388889,"after","Blank","both","A",19,38,19,19,"32","102","Physiology","Condition","Mass","RateMassChange",-1,1,0.4486,-0.1952,1.0925,0.107911,"Fig3a",0.705,0.107,NA,1.021,0.209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Emberiza_citrinella"
"533","JDAT","Van Der Veen",2000,"Yellowhammer","Emberiza citrinella","N","Eurasian sparrowhawk","Accipiter nisus","Bird","A","Lab","VM","non-breeding","within","1 min",0.001388889,"after","Blank","both","A",20,40,20,20,"32","102","Physiology","Condition","Mass","RateMassChange",-1,1,0.6223,-0.0123,1.2569,0.104841,"fig3b",0.519,0.092,NA,0.878,0.163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Emberiza_citrinella"
"533","JDAT","Van Der Veen",2000,"Yellowhammer","Emberiza citrinella","N","Eurasian sparrowhawk","Accipiter nisus","Bird","A","Lab","VM","non-breeding","within","1 min",0.001388889,"after","Blank","both","A",21,42,21,21,"32","102","Physiology","Condition","Mass","RateMassChange",-1,1,0.6624,0.0411,1.2836,0.100461,"fig3c",0.355,0.088,NA,0.665,0.119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Emberiza_citrinella"
"533","JDAT","Van Der Veen",2000,"Yellowhammer","Emberiza citrinella","N","Eurasian sparrowhawk","Accipiter nisus","Bird","A","Lab","VM","non-breeding","within","1 min",0.001388889,"after","Blank","both","A",21,42,21,21,"32","102","Physiology","Condition","Mass","RateMassChange",-1,1,0.5293,-0.0861,1.1446,0.098573,"fig3d",0.227,0.093,NA,0.415,0.063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Emberiza_citrinella"
"533","JDAT","Van Der Veen",2000,"Yellowhammer","Emberiza citrinella","N","Eurasian sparrowhawk","Accipiter nisus","Bird","A","Lab","VM","non-breeding","within","1 min",0.001388889,"after","Blank","both","A",19,38,19,19,"32","102","Physiology","Condition","Mass","RateMassChange",-1,1,1.7038,0.9614,2.4462,0.14346,"fig3e",0.346,0.134,NA,1.615,0.209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Emberiza_citrinella"
"545","KJM","Zoratto",2014,"European starling","Sturnus vulgaris","N","peregrine falcon","Falco peregrinus","Bird","A","Lab","V","non-breeding","among","3 minutes",0.004166667,"during","NonPred","M","A",27,27,14,13,"127","234","Behaviour","AntiPredator","Vigilance","vigilance: head turning",1,1,0.7652,-0.0168,1.5472,0.1592,"ES calculator based on exact p-value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,3.947,NA,NA,NA,NA,"0.059","","Sturnus_vulgaris"
"545","KJM","Zoratto",2014,"European starling","Sturnus vulgaris","N","peregrine falcon","Falco peregrinus","Bird","A","Lab","V","non-breeding","among","3 minutes",0.004166667,"during","NonPred","M","A",14,NA,7,7,"127","235","Behaviour","CostlyBehaviours","Activity","activity: hops/min - singles",-1,1,-2.4537,-3.8407,-1.0668,0.500744,"Fig 2a + ES calculator",1.350993,0.317881,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Sturnus_vulgaris"
"545","KJM","Zoratto",2014,"European starling","Sturnus vulgaris","N","peregrine falcon","Falco peregrinus","Bird","A","Lab","V","non-breeding","among","3 minutes",0.004166667,"during","NonPred","M","A",16,NA,8,8,"127","235","Behaviour","CostlyBehaviours","Activity","activity: hops/min - groups",-1,1,-0.6783,-1.6861,0.3295,0.264378,"Fig 2a + ES calculator",1.907285,1.13245,NA,0.443709,0.218543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Sturnus_vulgaris"
"545","KJM","Zoratto",2014,"European starling","Sturnus vulgaris","N","peregrine falcon","Falco peregrinus","Bird","A","Lab","V","non-breeding","among","3 minutes",0.004166667,"after","NonPred","M","A",14,NA,7,7,"127","235","Behaviour","CostlyBehaviours","Activity","activity: hops/min - singles",-1,1,-0.4538,-1.5148,0.6072,0.293069,"Fig 2a + ES calculator",0.2211921,0.145695,NA,0.099338,0.05298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Sturnus_vulgaris"
"545","KJM","Zoratto",2014,"European starling","Sturnus vulgaris","N","peregrine falcon","Falco peregrinus","Bird","A","Lab","V","non-breeding","among","3 minutes",0.004166667,"after","NonPred","M","A",16,NA,8,8,"127","235","Behaviour","CostlyBehaviours","Activity","activity: hops/min - groups",-1,1,-0.9268,-1.9581,0.1044,0.276845,"Fig 2a + ES calculator",1.251656,0.721854,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Sturnus_vulgaris"
"545","KJM","Zoratto",2014,"European starling","Sturnus vulgaris","N","peregrine falcon","Falco peregrinus","Bird","A","Lab","V","non-breeding","among","3 minutes",0.004166667,"during","NonPred","M","A",14,NA,7,7,"127","237","Behaviour","AntiPredator","Avoidance","antipredator response: freezing -singles",1,1,0.5423,-0.5244,1.6091,0.26219,"Fig 2c + ES calculator",0,0,NA,8.333333,8.871429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Sturnus_vulgaris"
"545","KJM","Zoratto",2014,"European starling","Sturnus vulgaris","N","peregrine falcon","Falco peregrinus","Bird","A","Lab","V","non-breeding","among","3 minutes",0.004166667,"during","NonPred","M","A",16,NA,8,8,"127","237","Behaviour","AntiPredator","Avoidance","antipredator response: freezing - groups",1,1,0.8018,-0.2168,1.8204,0.270089,"Fig 2c + ES calculator",0,0,NA,0.357143,0.238095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Sturnus_vulgaris"
"545","KJM","Zoratto",2014,"European starling","Sturnus vulgaris","N","peregrine falcon","Falco peregrinus","Bird","A","Lab","V","non-breeding","among","3 minutes",0.004166667,"after","NonPred","M","A",14,NA,7,7,"127","237","Behaviour","AntiPredator","Avoidance","antipredator response: freezing -singles",1,1,0.1233,-0.9253,1.1719,0.286257,"Fig 2c + ES calculator",7.380952,2.261905,NA,20.35714,6.071429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Sturnus_vulgaris"
"545","KJM","Zoratto",2014,"European starling","Sturnus vulgaris","N","peregrine falcon","Falco peregrinus","Bird","A","Lab","V","non-breeding","among","3 minutes",0.004166667,"after","NonPred","M","A",16,NA,8,8,"127","237","Behaviour","AntiPredator","Avoidance","antipredator response: freezing - groups",1,1,1.8813,0.7044,3.0583,0.360609,"Fig 2c + ES calculator",5.238095,3.809524,NA,40.95238,9.404762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Sturnus_vulgaris"
"548","JDAT","Courter",2010,"Tufted titmouse","Baeolophus bicolor","N","Eastern Screech-Owl","Megascops asio","Bird","A","Field","V","non-breeding","among","6 min",0.008333333,"during","NonPred","both","A",16,16,8,8,"91","173","Behaviour","AntiPredator","Mobbing","MobDuration",1,1,2.7538,1.3861,4.1216,0.486983,"Figure 3, means and se",48.2375,30.0556,NA,292.7644,36.7347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Baeolophus_bicolor"
"548","JDAT","Courter",2010,"Tufted titmouse","Baeolophus bicolor","N","Sharp-shinned Hawk","Accipiter striatus","Bird","A","Field","V","non-breeding","among","6 min",0.008333333,"during","NonPred","both","A",16,16,8,8,"91","173","Behaviour","AntiPredator","Mobbing","MobDuration",1,1,1.9908,0.7924,3.1892,0.373854,"Figure 3, means and se",48.2375,30.0556,NA,244.898,43.4137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Baeolophus_bicolor"
"548","JDAT","Courter",2010,"Tufted titmouse","Baeolophus bicolor","N","Cooper's Hawk","Accipiter cooperi","Bird","A","Field","V","non-breeding","among","6 min",0.008333333,"during","NonPred","both","A",16,16,8,8,"91","173","Behaviour","AntiPredator","Mobbing","MobDuration",1,1,1.6332,0.5016,2.7649,0.333358,"Figure 3, means and se",48.2375,30.0556,NA,215.2134,45.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Baeolophus_bicolor"
"548","JDAT","Courter",2010,"Tufted titmouse","Baeolophus bicolor","N","Great horned Owl","Bubo virginianus","Bird","A","Field","V","non-breeding","among","6 min",0.008333333,"during","NonPred","both","A",16,16,8,8,"91","173","Behaviour","AntiPredator","Mobbing","MobDuration",1,1,1.1556,0.097,2.2142,0.291731,"Figure 3, means and se",48.2375,30.0556,NA,164.3785,44.5269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Baeolophus_bicolor"
"548","JDAT","Courter",2010,"Tufted titmouse","Baeolophus bicolor","N","Red-tailed Hawk","Buteo jamaicensis","Bird","A","Field","V","non-breeding","among","6 min",0.008333333,"during","NonPred","both","A",16,16,8,8,"91","173","Behaviour","AntiPredator","Mobbing","MobDuration",1,1,1.0117,-0.0291,2.0525,0.281986,"Figure 3, means and se",48.2375,30.0556,NA,141.3729,38.9611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Baeolophus_bicolor"
"548","JDAT","Courter",2010,"Tufted titmouse","Baeolophus bicolor","N","Eastern Screech-Owl","Megascops asio","Bird","A","Field","V","non-breeding","among","6 min",0.008333333,"during","Blank","both","A",16,16,8,8,"91","173","Behaviour","AntiPredator","Mobbing","MobDuration",1,1,4.26,2.4883,6.0317,0.817108,"Figure 3, means and se",0,0,NA,292.7644,36.7347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Baeolophus_bicolor"
"548","JDAT","Courter",2010,"Tufted titmouse","Baeolophus bicolor","N","Sharp-shinned Hawk","Accipiter striatus","Bird","A","Field","V","non-breeding","among","6 min",0.008333333,"during","Blank","both","A",16,16,8,8,"91","173","Behaviour","AntiPredator","Mobbing","MobDuration",1,1,3.0153,1.5828,4.4477,0.534118,"Figure 3, means and se",0,0,NA,244.898,43.4137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Baeolophus_bicolor"
"548","JDAT","Courter",2010,"Tufted titmouse","Baeolophus bicolor","N","Cooper's Hawk","Accipiter cooperi","Bird","A","Field","V","non-breeding","among","6 min",0.008333333,"during","Blank","both","A",16,16,8,8,"91","173","Behaviour","AntiPredator","Mobbing","MobDuration",1,1,2.5205,1.2079,3.8332,0.448531,"Figure 3, means and se",0,0,NA,215.2134,45.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Baeolophus_bicolor"
"548","JDAT","Courter",2010,"Tufted titmouse","Baeolophus bicolor","N","Great horned Owl","Bubo virginianus","Bird","A","Field","V","non-breeding","among","6 min",0.008333333,"during","Blank","both","A",16,16,8,8,"91","173","Behaviour","AntiPredator","Mobbing","MobDuration",1,1,1.9733,0.7784,3.1682,0.371682,"Figure 3, means and se",0,0,NA,164.3785,44.5269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Baeolophus_bicolor"
"548","JDAT","Courter",2010,"Tufted titmouse","Baeolophus bicolor","N","Red-tailed Hawk","Buteo jamaicensis","Bird","A","Field","V","non-breeding","among","6 min",0.008333333,"during","Blank","both","A",16,16,8,8,"91","173","Behaviour","AntiPredator","Mobbing","MobDuration",1,1,1.9395,0.7513,3.1278,0.367558,"Figure 3, means and se",0,0,NA,141.3729,38.9611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Baeolophus_bicolor"
"548","JDAT","Courter",2010,"Tufted titmouse","Baeolophus bicolor","N","Eastern Screech-Owl","Megascops asio","Bird","A","Field","A","non-breeding","among","1 min",0.001388889,"after","NonPred","both","A",16,16,8,8,"92","174","Behaviour","Intake","Foraging","LatencyResume",-1,-1,3.0456,1.6055,4.4857,0.539864,"Figure 5, means and se",18.1193,16.4206,NA,120.3236,7.2194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Baeolophus_bicolor"
"548","JDAT","Courter",2010,"Tufted titmouse","Baeolophus bicolor","N","Red-tailed Hawk","Buteo jamaicensis","Bird","A","Field","A","non-breeding","among","1 min",0.001388889,"after","NonPred","both","A",16,16,8,8,"92","174","Behaviour","Intake","Foraging","LatencyResume",-1,-1,1.0412,-0.003,2.0855,0.28388,"Figure 5, means and se",18.1193,16.4206,NA,58.6047,12.7401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Baeolophus_bicolor"
"581","KJM","Yoon",2017,"Marsh tit","Parus minor","N","Eurasian Magpie","Pica pica","Bird","N","Field","A","breeding","within","3 hours",0.25,"after","NonPred","F","A",19,38,19,19,"105","195","Behaviour","ParentalCare","Incubation","female nest attentiveness (time on nest)",-1,1,-0.0459,-0.9453,0.8535,0.2106,"Table 1, ES calculator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0.01,NA,NA,NA,NA,"0.93","","Parus_monticolus"
"581","KJM","Yoon",2017,"Oriental tit","Poecile palustris","N","Eurasian Magpie","Pica pica","Bird","N","Field","A","breeding","within","3 hours",0.25,"after","NonPred","F","A",21,42,21,21,"106","195","Behaviour","ParentalCare","Incubation","female nest attentiveness",-1,1,0.3117,-0.5489,1.1723,0.1928,"Table 1, ES calculator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0.51,NA,NA,NA,NA,"0.49","","Parus_palustris"
"581","KJM","Yoon",2017,"Marsh tit","Parus minor","N","Eurasian Magpie","Pica pica","Bird","N","Field","A","breeding","within","3 hours",0.25,"after","NonPred","F","A",19,38,19,19,"105","196","Behaviour","ParentalCare","Incubation","female feeding trips",-1,-1,-0.2675,-1.1708,0.6358,0.2124,"Table 1, ES calculator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0.34,NA,NA,NA,NA,"0.57","","Parus_monticolus"
"581","KJM","Yoon",2017,"Oriental tit","Poecile palustris","N","Eurasian Magpie","Pica pica","Bird","N","Field","A","breeding","within","3 hours",0.25,"after","NonPred","F","A",21,42,21,21,"106","196","Behaviour","ParentalCare","Incubation","female feeding trips",-1,-1,0.138,-0.7184,0.9944,0.1909,"Table 1, ES calculator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0.1,NA,NA,NA,NA,"0.76","","Parus_palustris"
"581","KJM","Yoon",2017,"Marsh tit","Parus minor","N","Eurasian Magpie","Pica pica","Bird","N","Field","A","breeding","within","3 hours",0.25,"after","NonPred","M","A",19,38,19,19,"105","197","Behaviour","ParentalCare","Incubation","male incubation feeding trips",-1,1,-1.0063,-1.9608,0.0518,0.2372,"Table 1, ES calculator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,4.81,NA,NA,NA,NA,"0.04","","Parus_monticolus"
"581","KJM","Yoon",2017,"Oriental tit","Poecile palustris","N","Eurasian Magpie","Pica pica","Bird","N","Field","A","breeding","within","3 hours",0.25,"after","NonPred","M","A",21,42,21,21,"106","197","Behaviour","ParentalCare","Incubation","male incubation feeding trips",-1,1,-0.5496,-1.4181,0.3244,0.1976,"Table 1, ES calculator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,1.57,NA,NA,NA,NA,"0.23","","Parus_palustris"
"581","KJM","Yoon",2017,"Marsh tit","Parus minor","N","Eurasian Magpie","Pica pica","Bird","N","Field","A","breeding","within","3 hours",0.25,"after","NonPred","both","A",19,38,19,19,"105","198","Behaviour","AntiPredator","Vigilance","parental vigilance",1,1,0.0459,-0.8535,0.9453,0.2106,"Table 1, ES calculator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0.01,NA,NA,NA,NA,"0.98","","Parus_monticolus"
"581","KJM","Yoon",2017,"Oriental tit","Poecile palustris","N","Eurasian Magpie","Pica pica","Bird","N","Field","A","breeding","within","3 hours",0.25,"after","NonPred","both","A",21,42,21,21,"106","198","Behaviour","AntiPredator","Vigilance","parental vigilance",1,1,-0.1512,-1.0078,0.7054,0.191,"Table 1, ES calculator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0.12,NA,NA,NA,NA,"0.73","","Parus_palustris"
"596","KJM","Lou",2017,"Chinese grouse","Tetrastes sewesrzowi","N","goshawk","Accipiter gentilis","Bird","A","Field","A","breeding","within","10 minutes",0.013888889,"after","Blank","M","A",8,16,8,8,"e","6","Behaviour","Intake","Foraging","proporion time foraging",-1,1,-0.1675,-1.1492,0.8142,0.250877,"means and se provided in Table 3",0.37,0.287,NA,0.17,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.642",NA,NA,NA,NA,NA,NA,NA,"0.033","paired males with their mates. Before playback = control, after playback = treatment","Bonasa_sewerzowi"
"596","KJM","Lou",2017,"Chinese grouse","Tetrastes sewesrzowi","N","goshawk","Accipiter gentilis","Bird","A","Field","A","breeding","within","10 minutes",0.013888889,"after","Blank","F","A",8,16,8,8,"g","6","Behaviour","Intake","Foraging","proportion time foraging",-1,1,-0.3608,-1.3487,0.6271,0.254068,"means and se provided in Table 3",0.612,0.173,NA,0.404,0.255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.079",NA,NA,NA,NA,NA,NA,NA,"0.076","paired females with their mates. Before playback = control, after playback = treatment","Bonasa_sewerzowi"
"596","KJM","Lou",2017,"Chinese grouse","Tetrastes sewesrzowi","N","goshawk","Accipiter gentilis","Bird","A","Field","A","breeding","within","10 minutes",0.013888889,"after","Blank","M","A",3,6,3,3,"f","6","Behaviour","Intake","Foraging","proportion time foraging",-1,1,-2.3626,-4.4477,-0.2774,1.131808,"means and se provided in Table 3",0.688,0.161,NA,0.289,0.051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.144",NA,NA,NA,NA,NA,NA,NA,"0.025","unpaired males. Before playback = control, after playback = treatment","Bonasa_sewerzowi"
"596","KJM","Lou",2017,"Chinese grouse","Tetrastes sewesrzowi","N","goshawk","Accipiter gentilis","Bird","A","Field","A","breeding","within","10 minutes",0.013888889,"after","Blank","M","A",8,16,8,8,"e","6","Behaviour","AntiPredator","Vigilance","proportion time vigilant",1,1,0.4103,-0.5799,1.4006,0.255262,"means and se provided in Table 3",0.44,0.238,NA,0.67,0.182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-3.3",NA,NA,NA,NA,NA,NA,NA,"0.013","paired males with their mates. Before playback = control, after playback = treatment","Bonasa_sewerzowi"
"596","KJM","Lou",2017,"Chinese grouse","Tetrastes sewesrzowi","N","goshawk","Accipiter gentilis","Bird","A","Field","A","breeding","within","10 minutes",0.013888889,"after","Blank","F","A",8,16,8,8,"g","6","Behaviour","AntiPredator","Vigilance","proportion time vigilant",1,1,0.5892,-0.4118,1.5903,0.26085,"means and se provided in Table 3",0.168,0.066,NA,0.512,0.305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-3.352",NA,NA,NA,NA,NA,NA,NA,"0.012","paired females with their mates. Before playback = control, after playback = treatment","Bonasa_sewerzowi"
"596","KJM","Lou",2017,"Chinese grouse","Tetrastes sewesrzowi","N","goshawk","Accipiter gentilis","Bird","A","Field","A","breeding","within","10 minutes",0.013888889,"after","Blank","M","A",3,6,3,3,"f","6","Behaviour","AntiPredator","Vigilance","proportion time vigilant",1,1,2.776,1.4029,4.1491,0.490819,"means and se provided in Table 3",0.374,0.201,NA,0.629,0.054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-7.27",NA,NA,NA,NA,NA,NA,NA,"0.018","unpaired males. Before playback = control, after playback = treatment","Bonasa_sewerzowi"
"600","KJM","Randler",2006,"Eurasian coot","Fulica atra","NS","","","NS","","Field","A","non-breeding","among","30 seconds",0.006944444,"during","NonPred","both","A",28,28,18,10,"121","227","Behaviour","AntiPredator","Vigilance","time spent vigilant",1,1,1.5698,0.6942,2.4453,0.199558,"Fig 1, ES calculator",5.042493,0.849858,NA,16.46067,2.134831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Fulica_atra"
"600","KJM","Randler",2006,"Eurasian coot","Fulica atra","NS","","","NS","","Field","A","non-breeding","among","30 seconds",0.006944444,"after","NonPred","both","A",28,28,18,10,"121","227","Behaviour","AntiPredator","Vigilance","time spent vigilant",1,1,0.733,-0.0635,1.5295,0.16515,"Fig 1, ES calculator",5.835694,1.133144,NA,10.33708,1.741573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Fulica_atra"
"632","KJM","Gerard",2015,"Wedge-tailed shearwater","Puffinus pacificu","N","rat","Ratus ratus","Mammal","N","Field","O","breeding","within","7.5 minutes",0.010416667,"during","disturbance","both","A",100,200,100,100,"t","31","Behaviour","AntiPredator","Avoidance","predator avoidance (choice test)",1,1,-0.1325,-0.5655,0.3005,0.04881,"calculated from raw counts in text using frequency distribution tab in ES calculator: 23 of 45, 7 or 15, and 23 of 40 chose control arm (not predator scent)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Puffinus_pacificus"
"637","KJM","Adelman",2017,"House finch","Haemorhous mexicanus","N","Cooper's Hawk","Accipiter cooperi","Bird","A","Lab","A","non-breeding","within","1 hour",0.001388889,"after","NonPred","both","A",24,48,24,24,"95","179","Behaviour","CostlyBehaviours","Activity","Movement (sum of head turns, hops, flights)",-1,1,-0.2779,-1.0819,0.5261,0.1683,"main text",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.27,7.5,NA,NA,NA,NA,"",NA,NA,0.49,NA,NA,NA,NA,"0.48","Could not use data from visual experiment because summary data didn't allow calcualtion of effect size. ","Carpodacus_mexicanus"
"673","JDAT","Dessborn",2012,"Mallard","Anas platyrhynchos","N","Northern Pike","Esox lucius","Fish","A","Lab","OV","non-breeding","within","20 min",0.027777778,"after","Blank","both","J",80,160,80,80,"90","172","Behaviour","AntiPredator","Avoidance","Change in area use",1,-1,0.173,-0.1375,0.4835,0.025094,"Result section 3.2",5.3,1.17,NA,8,2.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.91",NA,NA,NA,NA,NA,NA,NA,"0.38","","Anas_platyrhynchos"
"673","JDAT","Dessborn",2012,"Mallard","Anas platyrhynchos","N","American Mink","Neovison vison","Mammal","N","Lab","L","breeding","within","22 min",0.027777778,"after","Blank","both","J",64,160,64,64,"90","172","Behaviour","AntiPredator","Avoidance","Change in area use",1,-1,-0.3571,-0.7064,-0.0079,0.031748,"Result section 3.2",5.88,1.29,NA,2.75,0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.78",NA,NA,NA,NA,NA,NA,NA,"0.1","","Anas_platyrhynchos"
"679","KJM","Carlson",2017,"blue tit","Cyanistes caeruleus","N","sparrowhawk","Accipiter nisus","Bird","A","Field","V","non-breeding","within","30 minutes",0.041666667,"during","disturbance","both","A",24,24,12,12,"147","141","Behaviour","AntiPredator","Mobbing","alarm calling rate",1,1,1.1812,0.314,2.0483,0.195732,"means and se from figure 2a",0.9661,0.3487,NA,6.6029,2.0048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",4.23,NA,NA,NA,NA,NA,NA,"<0.001","","Parus_caeruleus"
"679","KJM","Carlson",2017,"blue tit","Cyanistes caeruleus","N","sparrowhawk","Accipiter nisus","Bird","A","Field","VM","non-breeding","within","30 minutes",0.041666667,"during","disturbance","both","A",24,24,12,12,"147","141","Behaviour","AntiPredator","Mobbing","alarm calling rate",1,1,1.1879,0.32,2.0558,0.196065,"means and se from figure 2a",0.9661,0.3487,NA,5.7603,1.6852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",4.06,NA,NA,NA,NA,NA,NA,"<0.001","","Parus_caeruleus"
