complete,RecNo,ExtractedBy,Author,Year,FocalSpC,FocalSpL,MultiplePred,PredSpC,PredSpL,PredGuild,PredTo,Setting,Treatment,Season,Design,TreatmentDuration,duration_days,ResponsePeriod,ControlType,Sex,Age,N,Nobs,NTreat,Ncontrol,SubjectID,ResponseID,Type,Category,SubCategory,ResponseDetails,PredictedDirection,Direction,d,l_95,u_95,v,Calculation,Control_mean,Control_se,Control_sd,Treatment_mean,Treatment_se,Treatment_sd,control_median,control_lowerquartile,control_upperquartile,treament_median,treament_lowerquartile,treatment_upperquartile,Beta_estimate,Beta_se,Beta_sd,l95CI,U95CI,SE,t,T,Z,F,Wald,X2,H,U,p,Details
y,184,KJM,Szymkowiak,2019,Wood warbler,Phylloscopus sibilatrix,N,Eurasian jay,Garrulus glandarius,Bird,N,Field,A,breeding,among,2 months,60,after,NonPred,both,A,10,10,5,5,123,229,Behaviour,AntiPredator,Avoidance,settlement: timing (date),1,1,0.7135,-0.565,1.9919,0.42452,"Fig3, Yr2, ES calculator",28.84269663,1.008942903,,30.7752809,1.628066954,,,,,,,,,,,,,,,,,,,,,,,
y,184,KJM,Szymkowiak,2019,Wood warbler,Phylloscopus sibilatrix,N,Eurasian jay,Garrulus glandarius,Bird,N,Field,A,breeding,among,2 months,60,after,blank,both,A,10,10,5,5,123,229,Behaviour,AntiPredator,Avoidance,settlement: timing (date),1,1,2.7923,1.0504,4.5342,0.789846,"fig 3 Yr1, es calculator",17.42696629,1.628066959,,27.04494382,1.811511122,,,,,,,,,,,,,,,,,,,,,,,
y,184,KJM,Szymkowiak,2019,Wood warbler,Phylloscopus sibilatrix,N,Eurasian jay,Garrulus glandarius,Bird,N,Field,A,breeding,among,2 months,60,after,blank,both,A,10,10,5,5,123,229,Behaviour,AntiPredator,Avoidance,settlement: timing (date),1,1,0.2659,-0.9791,1.511,0.403536,"Fig3, Yr2, ES calculator",30.01123596,1.215317587,,30.7752809,1.628066954,,,,,,,,,,,,,,,,,,,,,,,
y,108,KJM,Trnka,2022,House sparrow,Passer domesticus,N,Eurasian Sparrowhawk,Accipiter nisus,Bird,A,Field,V,non-breeding,within,5 minutes,0.006944444,during,Blank,both,A,83,1677,83,83,128,238,Behaviour,Intake,Foraging,latency to resume feeding,-1,-1,0.1322,-0.1724,0.4368,0.024149,"Table 2, ES calculator",9.7,7.4375,,335.5,384.875,,,,,,,,,,,,,,,,,,,,,,,
y,108,KJM,Trnka,2022,House sparrow,Passer domesticus,N,Eurasian Sparrowhawk,Accipiter nisus,Bird,A,Field,V,non-breeding,within,5 minutes,0.006944444,during,Blank,both,A,83,1677,83,83,128,239,Behaviour,CostlyBehaviours,Activity,proportion of flock active,-1,1,-0.8164,-1.133,-0.4997,0.026104,"Table 2, ES calculator",0.84,0.10625,,0.11,0.090625,,,,,,,,,,,,,,,,,,,,,,,
y,907/245,KJM,de Moraes,2019,Blue-black grassquit,Volatinia jacarina,N,aplomado falcon,Falco femoralis,Bird,A,Field,A,breeding,within,2 hours,0.166666667,after,NonPred,M,A,29,766,29,29,124,230,Behaviour,CostlyBehaviours,Courtship,courtship: duration of courtship leaps,-1,1,0.0603,-0.0814,0.2019,0.0052,calculated t-statistic using raw data,,,,,,,,,,,,,0.8888,1.066,,,,,0.834,,,,,,,,0.405,
y,69,KJM,de Moraes,2020,Blue-black grassquit,Volatinia jacarina,N,guira cuckoo,Guira guira,Bird,N,Field,A,breeding,within,2 hours,0.166666667,after,NonPred,F,A,20,40,20,20,125,231,Behaviour,ParentalCare,Provisioning,latency to resume provisioning,-1,-1,-0.53,-1.17,0.13,0.103438,direct from raw data on dryad,25.1945,4.993102,,15.544737,3.271514,,,,,,,,,,,,,,,,,,,,,,,
y,69,KJM,de Moraes,2020,Blue-black grassquit,Volatinia jacarina,N,guira cuckoo,Guira guira,Bird,N,Field,A,breeding,within,2 hours,0.166666667,after,NonPred,M,A,20,40,20,20,126,231,Behaviour,ParentalCare,Provisioning,latency to resume provisioning,-1,-1,0.05,-0.6,0.71,0.100033,direct from raw data on dryad,21.573158,4.180596,,22.348235,2.598046,,,,,,,,,,,,,,,,,,,,,,,
y,69,KJM,de Moraes,2020,Blue-black grassquit,Volatinia jacarina,N,guira cuckoo,Guira guira,Bird,N,Field,A,breeding,within,2 hours,0.166666667,after,NonPred,F,A,20,40,20,20,125,231,Behaviour,ParentalCare,Provisioning,nesting visits,-1,1,-0.1,-0.72,0.52,0.100129,direct from raw data on dryad,4.1,0.428584,,3.9,0.4751731,,,,,,,,,,,,,,,,,,,,,,,
y,69,KJM,de Moraes,2020,Blue-black grassquit,Volatinia jacarina,N,guira cuckoo,Guira guira,Bird,N,Field,A,breeding,within,2 hours,0.166666667,after,NonPred,M,A,20,40,20,20,126,231,Behaviour,ParentalCare,Provisioning,nesting visits,-1,1,-0.3,-0.93,0.33,0.101145,direct from raw data on dryad,4,0.5281547,,3.35,0.4546543,,,,,,,,,,,,,,,,,,,,,,,
y,69,KJM,de Moraes,2020,Blue-black grassquit,Volatinia jacarina,N,guira cuckoo,Guira guira,Bird,N,Field,A,breeding,within,2 hours,0.166666667,after,NonPred,F,A,20,40,20,20,125,231,Behaviour,ParentalCare,Provisioning,provisioning: food load,-1,1,-0.28,-0.9,0.35,0.10171,direct from raw data on dryad,32.4,5.133174,,26.5,4.507596,,,,,,,,,,,,,,,,,,,,,,,
y,69,KJM,de Moraes,2020,Blue-black grassquit,Volatinia jacarina,N,guira cuckoo,Guira guira,Bird,N,Field,A,breeding,within,2 hours,0.166666667,after,NonPred,M,A,20,40,20,20,126,231,Behaviour,ParentalCare,Provisioning,provisioning: food load,-1,1,-0.37,-1,0.27,0.101749,direct from raw data on dryad,34.3,5.442087,,26.55,4.075908,,,,,,,,,,,,,,,,,,,,,,,
y,69,KJM,de Moraes,2020,Blue-black grassquit,Volatinia jacarina,N,guira cuckoo,Guira guira,Bird,N,Field,A,breeding,within,2 hours,0.166666667,after,NonPred,F,A,20,40,20,20,125,232,Behaviour,ParentalCare,Incubation,parental care: time brooding,-1,1,0.37,-0.26,1,0.101749,direct from raw data on dryad,18.35,5.703718,,27.8125,5.902738,,,,,,,,,,,,,,,,,,,,,,,
y,69,KJM,de Moraes,2020,Blue-black grassquit,Volatinia jacarina,N,guira cuckoo,Guira guira,Bird,N,Field,A,breeding,within,2 hours,0.166666667,after,NonPred,M,A,20,40,20,20,126,232,Behaviour,ParentalCare,Incubation,parental care: time attending to nest,-1,1,-0.29,-0.91,0.34,0.101027,direct from raw data on dryad,2.96825,0.7659193,,2.08005,0.651571,,,,,,,,,,,,,,,,,,,,,,,
y,69,KJM,de Moraes,2020,Blue-black grassquit,Volatinia jacarina,N,guira cuckoo,Guira guira,Bird,N,Field,A,breeding,within,2 hours,0.166666667,after,NonPred,M,A,20,40,20,20,126,233,Behaviour,CostlyBehaviours,Courtship,courtship: displays to females,-1,1,-0.69,-1.37,0.01,0.105256,direct from raw data on dryad,0.53124478,0.08228731,,0.27591036,0.09772358,,,,,,,,,,,,,,,,,,,,,,,
y,545,KJM,Zoratto,2014,European starling,Sturnus vulgaris,N,peregrine falcon,Falco peregrinus,Bird,A,Lab,V,non-breeding,among,3 minutes,0.004166667,during,NonPred,M,A,27,27,14,13,127,234,Behaviour,AntiPredator,Vigilance,vigilance: head turning,1,1,0.7652,-0.0168,1.5472,0.1592,ES calculator based on exact p-value,,,,,,,,,,,,,,,,,,,,,,3.947,,,,,0.059,
y,545,KJM,Zoratto,2014,European starling,Sturnus vulgaris,N,peregrine falcon,Falco peregrinus,Bird,A,Lab,V,non-breeding,among,3 minutes,0.004166667,during,NonPred,M,A,14,,7,7,127,235,Behaviour,CostlyBehaviours,Activity,activity: hops/min - singles,-1,1,-2.4537,-3.8407,-1.0668,0.500744,Fig 2a + ES calculator,1.350993,0.317881,,0,0,,,,,,,,,,,,,,,,,,,,,,,
y,545,KJM,Zoratto,2014,European starling,Sturnus vulgaris,N,peregrine falcon,Falco peregrinus,Bird,A,Lab,V,non-breeding,among,3 minutes,0.004166667,during,NonPred,M,A,16,,8,8,127,235,Behaviour,CostlyBehaviours,Activity,activity: hops/min - groups,-1,1,-0.6783,-1.6861,0.3295,0.264378,Fig 2a + ES calculator,1.907285,1.13245,,0.443709,0.218543,,,,,,,,,,,,,,,,,,,,,,,
y,545,KJM,Zoratto,2014,European starling,Sturnus vulgaris,N,peregrine falcon,Falco peregrinus,Bird,A,Lab,V,non-breeding,among,3 minutes,0.004166667,after,NonPred,M,A,14,,7,7,127,235,Behaviour,CostlyBehaviours,Activity,activity: hops/min - singles,-1,1,-0.4538,-1.5148,0.6072,0.293069,Fig 2a + ES calculator,0.2211921,0.145695,,0.099338,0.05298,,,,,,,,,,,,,,,,,,,,,,,
y,545,KJM,Zoratto,2014,European starling,Sturnus vulgaris,N,peregrine falcon,Falco peregrinus,Bird,A,Lab,V,non-breeding,among,3 minutes,0.004166667,after,NonPred,M,A,16,,8,8,127,235,Behaviour,CostlyBehaviours,Activity,activity: hops/min - groups,-1,1,-0.9268,-1.9581,0.1044,0.276845,Fig 2a + ES calculator,1.251656,0.721854,,0,0,,,,,,,,,,,,,,,,,,,,,,,
y,545,KJM,Zoratto,2014,European starling,Sturnus vulgaris,N,peregrine falcon,Falco peregrinus,Bird,A,Lab,V,non-breeding,among,3 minutes,0.004166667,during,NonPred,M,A,14,,7,7,127,237,Behaviour,AntiPredator,Avoidance,antipredator response: freezing -singles,1,1,0.5423,-0.5244,1.6091,0.26219,Fig 2c + ES calculator,0,0,,8.333333,8.871429,,,,,,,,,,,,,,,,,,,,,,,
y,545,KJM,Zoratto,2014,European starling,Sturnus vulgaris,N,peregrine falcon,Falco peregrinus,Bird,A,Lab,V,non-breeding,among,3 minutes,0.004166667,during,NonPred,M,A,16,,8,8,127,237,Behaviour,AntiPredator,Avoidance,antipredator response: freezing - groups,1,1,0.8018,-0.2168,1.8204,0.270089,Fig 2c + ES calculator,0,0,,0.357143,0.238095,,,,,,,,,,,,,,,,,,,,,,,
y,545,KJM,Zoratto,2014,European starling,Sturnus vulgaris,N,peregrine falcon,Falco peregrinus,Bird,A,Lab,V,non-breeding,among,3 minutes,0.004166667,after,NonPred,M,A,14,,7,7,127,237,Behaviour,AntiPredator,Avoidance,antipredator response: freezing -singles,1,1,0.1233,-0.9253,1.1719,0.286257,Fig 2c + ES calculator,7.380952,2.261905,,20.35714,6.071429,,,,,,,,,,,,,,,,,,,,,,,
y,545,KJM,Zoratto,2014,European starling,Sturnus vulgaris,N,peregrine falcon,Falco peregrinus,Bird,A,Lab,V,non-breeding,among,3 minutes,0.004166667,after,NonPred,M,A,16,,8,8,127,237,Behaviour,AntiPredator,Avoidance,antipredator response: freezing - groups,1,1,1.8813,0.7044,3.0583,0.360609,Fig 2c + ES calculator,5.238095,3.809524,,40.95238,9.404762,,,,,,,,,,,,,,,,,,,,,,,
y,108,KJM,Trnka,2022,House sparrow,Passer domesticus,N,Eurasian Sparrowhawk,Accipiter nisus,Bird,A,Field,V,non-breeding,within,5 minutes,0.006944444,during,NonPred,both,A,83,1677,83,83,128,238,Behaviour,Intake,Foraging,latency to resume feeding,-1,-1,0.134,-0.1706,0.4386,0.0242,"Table 2, ES calculator",12.2,10.15625,,335.5,384.875,,,,,,,,,,,,,,,,,,,,,,,behaviour analyzed at the level of the flock. Used total number of flocks as conservative N
y,108,KJM,Trnka,2022,House sparrow,Passer domesticus,N,Eurasian Sparrowhawk,Accipiter nisus,Bird,A,Field,V,non-breeding,within,5 minutes,0.006944444,during,NonPred,both,A,83,1677,83,83,128,239,Behaviour,CostlyBehaviours,Activity,proportion of flock active,-1,1,-0.9023,-1.2217,-0.583,0.0265,"Table 2, ES calculator",0.86,0.096875,,0.11,0.090625,,,,,,,,,,,,,,,,,,,,,,,
Shinichi,7,KJM,Mathot,2020,Red knot,Calidris canutus,N,sparrowhawk,Accipiter nisus,Bird,A,Lab,V,non-breeding,within,5 days each,5,after,blank,both,A,48,96,48,48,120,240,Physiology,Condition,Mass,body mass (g),-1,1,-0.69205,,,,mean effect size in Table 1 & SE computed from 95% CI in text,,,,,,,,,,,,,-6.26,0.698979592,,,,,,,,,,,,,,
Shinichi,7,KJM,Mathot,2020,Red knot,Calidris canutus,N,sparrowhawk,Accipiter nisus,Bird,A,Lab,V,non-breeding,within,5 days each,5,after,blank,both,A,48,96,48,48,120,241,Behaviour,Intake,Foraging,proption of time foraging,-1,1,-0.06074,,,,mean effect size in Table 1 & SE computed from 95% CI in text,,,,,,,,,,,,,-0.44,0.158163265,,,,,,,,,,,,,,
Shinichi,7,KJM,Mathot,2020,Red knot,Calidris canutus,N,sparrowhawk,Accipiter nisus,Bird,A,Lab,V,non-breeding,within,5 days each,5,after,blank,both,A,48,96,48,48,120,242,Behaviour,CostlyBehaviours,Activity,proportion of time active,-1,1,-0.06471,,,,mean effect size in Table 1 & SE computed from 95% CI in text,,,,,,,,,,,,,-0.48,0.244897959,,,,,,,,,,,,,,
y,17,KJM,Goullaud,2018,Horned lark,Eremophila alpestris,N,Red fox,Vulpes vulpes,Mammal,N,Field,V,breeding,among,2 days,2,during,NonPred,F,A,66,66,28,38,110,243,Behaviour,ParentalCare,Provisioning,provisionig: rate (vistis per 10 min),-1,1,-1.0308,-1.5607,-0.501,0.073079,means and se from Table 3,0.94,0.11,,0.36,0.07,,,,,,,,,,,,,,,,,,,,,,,
y,17,KJM,Goullaud,2018,Horned lark,Eremophila alpestris,N,Common raven,Corvus corax,Bird,N,Field,AV,breeding,among,2 days,2,during,NonPred,F,A,67,67,29,38,110,243,Behaviour,ParentalCare,Provisioning,provisionig: rate (vistis per 10 min),-1,1,-1.3674,-1.9033,-0.8315,0.074753,means and se from Table 3,0.94,0.11,,0.21,0.05,,,,,,,,,,,,,,,,,,,,,,,
y,17,KJM,Goullaud,2018,Horned lark,Eremophila alpestris,N,Red fox,Vulpes vulpes,Mammal,N,Field,V,breeding,among,2 days,2,during,NonPred,F,A,66,66,28,38,110,243,Behaviour,ParentalCare,Provisioning,"provisioning (biomass delivery, g/10 min)",-1,1,-0.8753,-1.3967,-0.354,0.070763,means and se from Table 3,5.5,0.95,,1.61,0.43,,,,,,,,,,,,,,,,,,,,,,,
y,17,KJM,Goullaud,2018,Horned lark,Eremophila alpestris,N,Common raven,Corvus corax,Bird,N,Field,AV,breeding,among,2 days,2,during,NonPred,F,A,67,67,29,38,110,243,Behaviour,ParentalCare,Provisioning,"provisioning (biomass delivery, g/10 min)",-1,1,-0.9722,-1.4828,-0.4617,0.067852,means and se from Table 3,5.5,0.95,,1.23,0.43,,,,,,,,,,,,,,,,,,,,,,,
y,17,KJM,Goullaud,2018,Horned lark,Eremophila alpestris,N,Red fox,Vulpes vulpes,Mammal,N,Field,V,breeding,among,2 days,22,during,NonPred,M,A,66,66,28,38,110,243,Behaviour,ParentalCare,Provisioning,provisionig: rate (vistis per 10 min),-1,1,-0.9285,-1.4526,-0.4044,0.071513,means and se from Table 3,0.6,0.09,,0.19,0.04,,,,,,,,,,,,,,,,,,,,,,,
y,17,KJM,Goullaud,2018,Horned lark,Eremophila alpestris,N,Common raven,Corvus corax,Bird,N,Field,AV,breeding,among,2 days,2,during,NonPred,M,A,67,67,29,38,110,243,Behaviour,ParentalCare,Provisioning,provisionig: rate (vistis per 10 min),-1,1,-1.049,-1.5639,-0.5341,0.06901,means and se from Table 3,0.6,0.09,,0.13,0.05,,,,,,,,,,,,,,,,,,,,,,,
y,17,KJM,Goullaud,2018,Horned lark,Eremophila alpestris,N,Red fox,Vulpes vulpes,Mammal,N,Field,V,breeding,among,2 days,2,during,NonPred,M,A,66,66,28,38,110,243,Behaviour,ParentalCare,Provisioning,"provisioning (biomass delivery, g/10 min)",-1,1,-0.7721,-1.2886,-0.2556,0.069435,means and se from Table 3,5.24,0.95,,1.59,0.49,,,,,,,,,,,,,,,,,,,,,,,
y,17,KJM,Goullaud,2018,Horned lark,Eremophila alpestris,N,Common raven,Corvus corax,Bird,N,Field,AV,breeding,among,2 days,2,during,NonPred,M,A,67,67,29,93,110,243,Behaviour,ParentalCare,Provisioning,"provisioning (biomass delivery, g/10 min)",-1,1,-1.0683,-1.5843,-0.5523,0.069315,means and se from Table 3,5.24,0.95,,0.54,0.17,,,,,,,,,,,,,,,,,,,,,,,
y,17,KJM,Goullaud,2018,Horned lark,Eremophila alpestris,N,Red fox,Vulpes vulpes,Mammal,N,Field,V,breeding,within,2 days,2,during,blank,F,A,121,121,28,93,110,243,Behaviour,ParentalCare,Provisioning,provisionig: rate (vistis per 10 min),-1,1,-0.8116,-1.2463,-0.3769,0.049186,means and se from Table 3,0.73,0.05,,0.36,0.07,,,,,,,,,,,,,,,,,,,,,,,
y,17,KJM,Goullaud,2018,Horned lark,Eremophila alpestris,N,Common raven,Corvus corax,Bird,N,Field,AV,breeding,within,2 days,2,during,blank,F,A,122,122,29,93,110,243,Behaviour,ParentalCare,Provisioning,provisionig: rate (vistis per 10 min),-1,1,-1.1847,-1.6272,-0.7421,0.050987,means and se from Table 3,0.73,0.05,,0.21,0.05,,,,,,,,,,,,,,,,,,,,,,,
y,17,KJM,Goullaud,2018,Horned lark,Eremophila alpestris,N,Red fox,Vulpes vulpes,Mammal,N,Field,V,breeding,within,2 days,2,during,blank,F,A,121,121,28,93,110,243,Behaviour,ParentalCare,Provisioning,"provisioning (biomass delivery, g/10 min)",-1,1,-0.5887,-1.0176,-0.1597,0.047899,means and se from Table 3,4.46,0.56,,1.61,0.43,,,,,,,,,,,,,,,,,,,,,,,
y,17,KJM,Goullaud,2018,Horned lark,Eremophila alpestris,N,Common raven,Corvus corax,Bird,N,Field,AV,breeding,within,2 days,2,during,blank,F,A,122,122,29,93,110,243,Behaviour,ParentalCare,Provisioning,"provisioning (biomass delivery, g/10 min)",-1,1,-0.6688,-1.094,-0.2435,0.047068,means and se from Table 3,4.46,0.54,,1.23,0.43,,,,,,,,,,,,,,,,,,,,,,,
y,17,KJM,Goullaud,2018,Horned lark,Eremophila alpestris,N,Red fox,Vulpes vulpes,Mammal,N,Field,V,breeding,within,2 days,2,during,blank,M,A,121,121,28,93,110,243,Behaviour,ParentalCare,Provisioning,provisionig: rate (vistis per 10 min),-1,1,-0.8542,-1.2902,-0.4182,0.049482,means and se from Table 3,0.56,0.05,,0.19,0.04,,,,,,,,,,,,,,,,,,,,,,,
y,17,KJM,Goullaud,2018,Horned lark,Eremophila alpestris,N,Common raven,Corvus corax,Bird,N,Field,AV,breeding,within,2 days,2,during,blank,M,A,122,122,29,93,110,243,Behaviour,ParentalCare,Provisioning,provisionig: rate (vistis per 10 min),-1,1,-0.9796,-1.4142,-0.545,0.049169,means and se from Table 3,0.56,0.05,,0.13,0.05,,,,,,,,,,,,,,,,,,,,,,,
y,17,KJM,Goullaud,2018,Horned lark,Eremophila alpestris,N,Red fox,Vulpes vulpes,Mammal,N,Field,V,breeding,within,2 days,2,during,blank,M,A,121,121,28,93,110,243,Behaviour,ParentalCare,Provisioning,"provisioning (biomass delivery, g/10 min)",-1,1,-0.5347,-0.9625,-0.1069,0.047648,means and se from Table 3,4.46,0.62,,1.59,0.49,,,,,,,,,,,,,,,,,,,,,,,
y,17,KJM,Goullaud,2018,Horned lark,Eremophila alpestris,N,Common raven,Corvus corax,Bird,N,Field,AV,breeding,within,2 days,2,during,blank,M,A,122,122,29,93,110,243,Behaviour,ParentalCare,Provisioning,"provisioning (biomass delivery, g/10 min)",-1,1,-0.4502,-1.1776,-0.3229,0.047542,means and se from Table 3,4.46,0.62,,0.54,0.17,,,,,,,,,,,,,,,,,,,,,,,
y,22,KJM,Blackwell,2021,European starling,Sturnus vulgaris,N,black rat snake,Pantherophis obsoletus,Reptile,N,Field,V,breeding,63 days,weeks,63,during,Blank,both,A,80,80,40,40,107,244,Behaviour,AntiPredator,Avoidance,probability of forming a nest,1,-1,-4.8086,-5.9745,-3.6427,0.353851,Table 1,3.367,0.033,,2.639,0.033,,,,,,,,,,,,,,,,,,,,,,,
y,22,KJM,Blackwell,2021,European starling,Sturnus vulgaris,N,black rat snake,Pantherophis obsoletus,Reptile,N,Field,VM,breeding,among,weeks,63,during,Blank,both,A,80,80,40,40,107,244,Behaviour,AntiPredator,Avoidance,probability of forming a nest,1,-1,0,-0.5845,0.5845,0.088933,Table 1,3.367,0.033,,3.367,0.033,,,,,,,,,,,,,,,,,,,,,,,
y,22,KJM,Blackwell,2021,European starling,Sturnus vulgaris,N,black rat snake,Pantherophis obsoletus,Reptile,N,Field,VM,breeding,among,weeks,63,during,disturbance,both,A,80,80,40,40,107,244,Behaviour,AntiPredator,Avoidance,probability of forming a nest,1,-1,3.7466,2.7969,4.6962,0.234781,Table 1,2.639,0.046,,3.367,0.033,,,,,,,,,,,,,,,,,,,,,,,
y,22,KJM,Blackwell,2021,European starling,Sturnus vulgaris,N,black rat snake,Pantherophis obsoletus,Reptile,N,Field,V,breeding,among,weeks,63,during,Blank,F,A,44,44,21,23,107,245a,LifeHistory,Phenology,LayDate,first egg day,1,1,0.1181,-0.4739,0.7102,0.091256,Table 2,119,7.5,,124.4,12.3,,,,,,,,,,,,,,,,,,,,,,,
y,22,KJM,Blackwell,2021,European starling,Sturnus vulgaris,N,black rat snake,Pantherophis obsoletus,Reptile,N,Field,VM,breeding,among,weeks,63,during,Blank,F,A,45,45,22,23,107,245a,LifeHistory,Phenology,LayDate,first egg day,1,1,0.0987,-0.4861,0.6836,0.089041,Table 2,119,4.5,,122.5,7.8,,,,,,,,,,,,,,,,,,,,,,,
y,22,KJM,Blackwell,2021,European starling,Sturnus vulgaris,N,black rat snake,Pantherophis obsoletus,Reptile,N,Field,VM,breeding,among,weeks,63,during,disturbance,F,A,47,47,22,25,107,245a,LifeHistory,Phenology,LayDate,first egg day,1,1,0.0066,-0.5663,0.5796,0.085455,Table 2,122.2,10.7,,122.5,7.8,,,,,,,,,,,,,,,,,,,,,,,
y,22,KJM,Blackwell,2021,European starling,Sturnus vulgaris,N,black rat snake,Pantherophis obsoletus,Reptile,N,Field,V,breeding,among,weeks,63,during,Blank,F,A,44,44,21,23,107,245,LifeHistory,reproduction,ClutchSize,clutch size,-1,1,0.0761,-0.5157,0.6678,0.091163,Table 2,4.5,1.6,,5,1.2,,,,,,,,,,,,,,,,,,,,,,,
y,22,KJM,Blackwell,2021,European starling,Sturnus vulgaris,N,black rat snake,Pantherophis obsoletus,Reptile,N,Field,VM,breeding,among,weeks,63,during,Blank,F,A,45,45,22,23,107,245,LifeHistory,reproduction,ClutchSize,clutch size,-1,1,0.032,-0.5525,0.6165,0.088944,Table 2,4.5,1.6,,4.7,1,,,,,,,,,,,,,,,,,,,,,,,
y,22,KJM,Blackwell,2021,European starling,Sturnus vulgaris,N,black rat snake,Pantherophis obsoletus,Reptile,N,Field,VM,breeding,among,weeks,63,during,disturbance,F,A,47,47,22,25,107,245,LifeHistory,reproduction,ClutchSize,clutch size,-1,1,0.092,-0.4813,0.6652,0.085545,Table 2,4.1,1.6,,4.7,1,,,,,,,,,,,,,,,,,,,,,,,
y,22,KJM,Blackwell,2021,European starling,Sturnus vulgaris,N,black rat snake,Pantherophis obsoletus,Reptile,N,Field,V,breeding,among,weeks,63,during,Blank,F,A,44,44,21,23,107,245,LifeHistory,reproduction,Nestlings,nestlings,-1,1,0.0109,-0.5807,0.6025,0.091099,Table 2,3.1,2,,3.2,2,,,,,,,,,,,,,,,,,,,,,,,
y,22,KJM,Blackwell,2021,European starling,Sturnus vulgaris,N,black rat snake,Pantherophis obsoletus,Reptile,N,Field,VM,breeding,among,weeks,63,during,Blank,F,A,45,45,22,23,107,245,LifeHistory,reproduction,Nestlings,nestlings,-1,1,0.0442,-0.5404,0.6287,0.088954,Table 2,3.1,2,,3.5,1.9,,,,,,,,,,,,,,,,,,,,,,,
y,22,KJM,Blackwell,2021,European starling,Sturnus vulgaris,N,black rat snake,Pantherophis obsoletus,Reptile,N,Field,VM,breeding,among,weeks,63,during,disturbance,F,A,47,47,22,25,107,245,LifeHistory,reproduction,Nestlings,nestlings,-1,1,0.0111,-0.5619,0.584,0.085456,Table 2,3.4,1.9,,3.5,1.9,,,,,,,,,,,,,,,,,,,,,,,
y,28,KJM,Coslovsky,2012,Great tit,Parus major,N,sparrowhawk,Accipiter nisus,Bird,A,Field,AV,breeding,among,10 days,10,during,NonPred,F,A,124,124,62,62,112,246a,LifeHistory,Phenology,LayDate,laying date,1,1,0.1393,-0.2131,0.4918,0.0323,means and sd in ESM,29.32,,4.85,30.03,,5.33,,,,,,,,,,,,,,,,,,,,,,
y,28,KJM,Coslovsky,2012,Great tit,Parus major,N,sparrowhawk,Accipiter nisus,Bird,A,Field,AV,breeding,among,10 days,10,during,NonPred,F,A,124,124,62,62,112,246,LifeHistory,reproduction,ClutchSize,clutch size,-1,1,0.0458,-0.3062,0.3979,0.0323,means and sd in ESM,8.14,,1.87,8.23,,1.73,,,,,,,,,,,,,,,,0.065,,,,0.888,,
y,28,KJM,Coslovsky,2012,Great tit,Parus major,N,sparrowhawk,Accipiter nisus,Bird,A,Field,AV,breeding,among,10 days,10,during,NonPred,F,A,124,124,62,62,112,246,LifeHistory,reproduction,EggSize,egg mass,-1,1,0.2832,-0.0705,0.637,0.0326,means and sd in ESM,1.58,,0.1,1.6,,0.13,,,,,,,,,,,,,,,,2.487,,,,0.116,,
y,43,KJM,Goldberg,2020,Soras,Porzana carolina,N,Great Horned Owl,Bubo virginianus,Bird,A,Field,A,non-breeding,among,2 weeks,14,during,NonPred,both,A,10,10,5,5,109,247,Behaviour,AntiPredator,Mobbing,alarm calling: number of calls per hour,1,1,1.6852,0.0642,3.3062,0.684,chi-square,,,,,,,,,,,,,,,,,,,,,,,,4.152,,,0.042,
y,47,KJM,Basso,2015,Great tit,Parus major,N,short-tailed weasel,Mustela erminea,Mammal,N,Field,AV,breeding,among,14 days,14,during,NonPred,F,A,33,33,17,16,103,248,Behaviour,ParentalCare,Incubation,parental care: incubation effort (min/day),-1,1,0.2585,-0.427,0.944,0.122336,means and se from text,449.617,10.773,,438.85,10.338,,,,,,,,,,,,,,,,,0.904,,,,,0.369,
y,47,KJM,Basso,2015,Great tit,Parus major,N,short-tailed weasel,Mustela erminea,Mammal,N,Field,AV,breeding,among,14 days,14,during,NonPred,F,A,33,33,17,16,103,248,Behaviour,ParentalCare,Incubation,parental care: incubation effort (min/night),-1,1,0.7868,0.0783,1.4954,0.1307,F statistic and sample size from text,,,,,,,,,,,,,1229.287,544.19,,,,,,,,5.103,,,,,0.032,
y,47,KJM,Basso,2015,Great tit,Parus major,N,short-tailed weasel,Mustela erminea,Mammal,N,Field,AV,breeding,among,14 days,14,during,NonPred,M,A,33,33,17,16,103,248,Behaviour,ParentalCare,Incubation,foraging: incubation feedig of female,-1,1,-0.1108,-0.794,0.5724,0.1215,means and se from text,1.163,1.379,,0.482,1.704,,,,,,,,,,,,,,,,-1.417,,,,,,0.157,
y,47,KJM,Basso,2015,Great tit,Parus major,N,short-tailed weasel,Mustela erminea,Mammal,N,Field,AV,breeding,among,14 days,14,during,NonPred,F,A,33,33,17,16,103,249,LifeHistory,reproduction,EggSize,egg mass,-1,1,0.3563,-0.3318,1.0444,0.123247,means and se from text,11.723,0.531,,12.408,0.447,,,,,,,,,,,,,,,,,0.967,,,,,0.354,
y,47,KJM,Basso,2015,Great tit,Parus major,N,short-tailed weasel,Mustela erminea,Mammal,N,Field,AV,breeding,among,14 days,14,during,NonPred,F,A,33,33,17,16,103,249,LifeHistory,reproduction,Nestlings,brood size,-1,1,0.1908,-0.4935,0.875,0.1219,F statistic and sample size from text,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,0.599,
